Timestamp,I am proud to work at AP,I would recommend AP to my friends or colleagues as a great place to work,I rarely think about looking for a job at another company,I see myself still working here in two years' time,AP motivates me to go beyond what I would in a similar role elsewhere,Communication from leadership is frequent and transparent,The leaders in my organization provide clear direction and guidelines for the future,"I receive regular, constructive feedback from my manager",I feel supported and comfortable approaching my manager with concerns and constructive feedback,I am satisfied with my job overall,My workload is manageable and realistic while continuing to challenge and stimulate me,I often feel like I'm just checking tasks as done instead of creating meaningful impact (reverse scored),I feel comfortable with our unlimited PTO policy and taking time off when I need it,I have access to the things I need to do my job well,Most of the systems and processes here support us getting our work done effectively,I feel empowered to bring new ideas to the team,I can voice a contrary opinion without fear of negative consequences,I know what I need to do to be successful in my role,I understand how my work contributes to company goals,Quality and improvement are top priorities when making decisions,"When I need to work with other areas (EPD, GTM, Ops, Support), the collaboration is smooth and productive",I receive appropriate recognition when I do good work,I am satisfied with the current performance review process and career progression,I have access to the learning and development I need to do my job well,My manager (or someone in management) has shown a genuine interest in my career aspirations,I feel that my voice and opinions are heard and valued by my leadership and peers,"I feel psychologically safe to take risks, make mistakes and learn from them",AP is dedicated to diversity and inclusiveness,AP demonstrates a commitment to the wellbeing of employees,I understand the AP values,How would you describe the current company culture?,I am satisfied with my current compensation,I understand our benefits policy,I am satisfied with my current benefits package,"What are some things you want to share with us? Feel free to share, but not limited to: what's working well and we should continue to do, what we're not doing so great and should aim to change.",Which of these best describes your primarly area?
8/29/2025 17:04:53,5,5,5,5,5,4,4,4,5,5,5,1,4,3,3,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,"Collaborative, Innovative, Supportive, Results-driven, Fast-paced",2,3,3,We do a great job at keeping cross-functional departments in the loop. Every department knows what the other is working on and it helps immensely for our operations and customer-facing roles as well. ,"Commercial, Operations & Support"
8/29/2025 17:18:10,5,5,5,5,5,5,4,5,5,4,4,2,4,5,4,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,"Collaborative, Innovative, Results-driven, Transparent, Fast-paced, Flexible",5,4,3,"All is working great, this is more of a suggestion. We can probably think of developing a work abroad policy which very standard in the industry and that way employees don't need to take time off to travel","Commercial, Operations & Support"
8/29/2025 17:19:36,5,5,5,5,5,4,4,5,4,5,4,2,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,"Collaborative, Innovative, Fast-paced",3,5,4,"Very happy with my relationship to my job overall, It is exciting to be part of a fast moving young company. The job is stressful and it can be overwhelming at times just how much work there is to do but I don't think those are inherently negative things. I think its important we work hard to preserve the cross functional collaborative spirit as all of the teams continue to grow. Leadership needs to be hyper-focused on making sure no un-kind people are allowed into the group and that no bullying is tolerated within it.","Commercial, Operations & Support"
8/29/2025 17:24:09,5,5,3,4,5,2,4,4,2,5,5,1,5,3,4,4,5,5,5,5,5,2,3,4,4,5,5,5,5,5,"Collaborative, Supportive, Results-driven, Fast-paced, Vibes ",2,3,2,"I think management has done a tremendous job growing the company from a scrappy start up to an established Saas company. Going through some bumps along the way, but I understand. I do think that certain mistakes can easily be avoided by being more transparent with direction. 

Management could do a better job of appreciating staff. Sometimes saying ""good job"" goes a long way.  ","Commercial, Operations & Support"
8/29/2025 17:31:23,5,5,3,4,5,4,4,4,5,4,4,1,3,3,3,4,4,4,5,5,4,5,3,2,3,4,4,5,4,5,"Collaborative, Innovative, Results-driven, Fast-paced",5,5,4,"- It will be nice to have some flexibility when it comes to coming to the office, for example, choosing which 3 days of the week you want to come, etc. 
- It will be nice to have a stipend for software to do our job better, as well as a stipend for office equipment, for example, if we need a monitor, etc. 
- It will be nice if we have the opportunity to participate in field-specific conferences that are explicitly related to our role, that has courses and learning opportunities for our team. 

Other than that, ALT is an amazing company to be part of. Yes, there are growing pains, but this is the nature of any startup. 



","Commercial, Operations & Support"
8/29/2025 18:02:57,5,5,5,5,3,4,4,4,5,5,4,1,1,4,4,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,"Collaborative, Innovative, Supportive, Results-driven, Inclusive, Transparent, Fast-paced, Flexible, Stressful, Bureaucratic",4,5,4,"I tell people that I think I'm drinking too much of the AltPay Juice, as I am genuinely happy here. I think leadership is incredible, my direct peers are phenomenal, and cross-department peers are lovely to collaborate with when needed. 

I think as we continue to scale, culture will take a hit. There are a lot of opinions and big personalities, that are bound to clash. If we can figure out how to keep the feedback loop constructive and positive, I think we will catch a good groove.  

I think there is always room for improvement in core areas like communication, etc., but I am so happy here. ","Commercial, Operations & Support"
8/29/2025 19:05:29,5,5,5,5,5,5,5,3,4,5,4,4,5,3,3,4,4,5,5,5,4,4,3,4,4,4,4,4,4,5,"Collaborative, Innovative, Supportive, Results-driven, Transparent, Flexible, Medium-paced. I think we can move faster",3,3,2,"Too many 1:1s and recurring meetings. Calls should be only held as needed, and substantially shortened. The goal is to move fast, but we have self-installed speed bumps ","Commercial, Operations & Support"
9/2/2025 10:25:19,5,3,3,3,4,3,3,3,5,4,3,1,3,5,2,5,5,2,4,2,4,4,2,1,2,4,4,2,2,4,"Collaborative, Supportive, Fast-paced, Stressful",3,2,1,,"Engineering, Product & Design"
9/2/2025 11:08:58,3,2,4,3,1,1,1,1,2,1,4,3,4,3,3,2,2,3,4,4,3,3,1,2,2,1,2,2,2,2,Stressful,2,3,3,,"Commercial, Operations & Support"
9/2/2025 11:10:22,5,5,4,5,4,4,2,3,3,4,3,4,2,5,4,4,2,3,4,3,5,3,2,4,4,4,4,5,2,4,"Collaborative, Innovative, Supportive, Fast-paced, Stressful",3,4,3,,"Engineering, Product & Design"
